{'WORLD_SIZE': 4, 'N': 48, 'time': 10.926278547995025, 'time_per_img': 0.23247401165946863, ('torch.float32', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 4.1, 'gpu_used_gb': 3.5322265625, 'local_rank': 0, 'scenario': 'ds0'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 12.878813026007265, 'time_per_img': 0.2740172984256865, ('torch.float32', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 4.2353515625, 'local_rank': 0, 'scenario': 'ds1'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 11.008844882977428, 'time_per_img': 0.23423074219100912, ('torch.float32', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 6.0, 'gpu_used_gb': 5.0224609375, 'local_rank': 0, 'scenario': 'ds2'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 21.365194459009217, 'time_per_img': 0.4545786055108344, ('torch.float32', 'cuda:0'): 125189, 'get_rank': 0, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 4.2939453125, 'local_rank': 0, 'scenario': 'ds3'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 6.232410289987456, 'time_per_img': 0.13260447425505226, ('torch.float16', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 4.1, 'gpu_used_gb': 3.9169921875, 'local_rank': 0, 'scenario': 'ds0-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 7.322074411000358, 'time_per_img': 0.15578881725532676, ('torch.float16', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 2.5791015625, 'local_rank': 0, 'scenario': 'ds1-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 10.113220024009934, 'time_per_img': 0.21517489412787094, ('torch.float16', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 5.8, 'gpu_used_gb': 2.9970703125, 'local_rank': 0, 'scenario': 'ds2-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 18.871043552993797, 'time_per_img': 0.4015115649573148, ('torch.float16', 'cuda:0'): 0, 'get_rank': 0, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 2.8779296875, 'local_rank': 0, 'scenario': 'ds3-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 13.559854393010028, 'time_per_img': 0.2885075402768091, ('torch.float32', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 6.0, 'gpu_used_gb': 4.2939453125, 'local_rank': 0, 'scenario': 'ds1-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 15.29344631600543, 'time_per_img': 0.32539247480862615, ('torch.float32', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 5.9, 'gpu_used_gb': 5.0224609375, 'local_rank': 0, 'scenario': 'ds2-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 30.641528012987692, 'time_per_img': 0.651947404531653, ('torch.float32', 'cuda:0'): 125189, 'get_rank': 0, 'memory_cpu_percent': 5.9, 'gpu_used_gb': 3.8779296875, 'local_rank': 0, 'scenario': 'ds3-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 9.7155191799975, 'time_per_img': 0.2067131740425, ('torch.float16', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 5.7, 'gpu_used_gb': 2.6220703125, 'local_rank': 0, 'scenario': 'ds1-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 10.264897157991072, 'time_per_img': 0.2184020671912994, ('torch.float16', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 5.8, 'gpu_used_gb': 2.9970703125, 'local_rank': 0, 'scenario': 'ds2-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 46.037869246007176, 'time_per_img': 0.9795291328937697, ('torch.float16', 'cuda:0'): 0, 'get_rank': 0, 'memory_cpu_percent': 5.8, 'gpu_used_gb': 2.5283203125, 'local_rank': 0, 'scenario': 'ds3-f16-offload'}
