{'WORLD_SIZE': 4, 'N': 48, 'time': 30.831017580989283, 'time_per_img': 0.6559790974678571, ('torch.float16', 'cuda:3'): 774036485, 'get_rank': 3, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 8.2607421875, 'local_rank': 3, 'scenario': 'ds1-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 57.93988845200511, 'time_per_img': 1.2327635840852151, ('torch.float16', 'cuda:3'): 774036485, 'get_rank': 3, 'memory_cpu_percent': 9.3, 'gpu_used_gb': 6.4150390625, 'local_rank': 3, 'scenario': 'ds2-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 84.4623153739958, 'time_per_img': 1.7970705398722513, ('torch.float16', 'cuda:3'): 0, 'get_rank': 3, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 7.8544921875, 'local_rank': 3, 'scenario': 'ds3-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 58.25986159199965, 'time_per_img': 1.2395715232340352, ('torch.float16', 'cuda:3'): 774036485, 'get_rank': 3, 'memory_cpu_percent': 9.3, 'gpu_used_gb': 6.0107421875, 'local_rank': 3, 'scenario': 'ds1-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 58.10666736098938, 'time_per_img': 1.2363120715104123, ('torch.float16', 'cuda:3'): 774036485, 'get_rank': 3, 'memory_cpu_percent': 9.3, 'gpu_used_gb': 6.4150390625, 'local_rank': 3, 'scenario': 'ds2-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 118.82077989899972, 'time_per_img': 2.5281016999787176, ('torch.float16', 'cuda:3'): 0, 'get_rank': 3, 'memory_cpu_percent': 8.3, 'gpu_used_gb': 5.1630859375, 'local_rank': 3, 'scenario': 'ds3-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 26.724620936000065, 'time_per_img': 0.5686089560851078, ('torch.float16', 'cuda:3'): 774036485, 'get_rank': 3, 'memory_cpu_percent': 3.9, 'gpu_used_gb': 7.5380859375, 'local_rank': 3, 'scenario': 'ds1-f16-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 48.96770482899956, 'time_per_img': 1.04186606019148, ('torch.float16', 'cuda:3'): 774036485, 'get_rank': 3, 'memory_cpu_percent': 7.8, 'gpu_used_gb': 5.5634765625, 'local_rank': 3, 'scenario': 'ds2-f16-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 103.93531057200016, 'time_per_img': 2.2113895866383015, ('torch.float32', 'cuda:3'): 774036485, 'get_rank': 3, 'memory_cpu_percent': 9.5, 'gpu_used_gb': 13.9013671875, 'local_rank': 3, 'scenario': 'ds1-offload-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 101.03012465200027, 'time_per_img': 2.1495771202553247, ('torch.float32', 'cuda:3'): 774036485, 'get_rank': 3, 'memory_cpu_percent': 9.5, 'gpu_used_gb': 13.9521484375, 'local_rank': 3, 'scenario': 'ds2-offload-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 53.38524814199991, 'time_per_img': 1.1358563434468065, ('torch.float16', 'cuda:3'): 774036485, 'get_rank': 3, 'memory_cpu_percent': 7.8, 'gpu_used_gb': 5.1396484375, 'local_rank': 3, 'scenario': 'ds1-f16-offload-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 49.293992894999974, 'time_per_img': 1.0488083594680846, ('torch.float16', 'cuda:3'): 774036485, 'get_rank': 3, 'memory_cpu_percent': 7.8, 'gpu_used_gb': 5.5634765625, 'local_rank': 3, 'scenario': 'ds2-f16-offload-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 54.892170201000226, 'time_per_img': 1.1679185149148985, ('torch.float16', 'cuda:3'): 774036485, 'get_rank': 3, 'memory_cpu_percent': 8.1, 'gpu_used_gb': 6.0107421875, 'local_rank': 3, 'scenario': 'ds1-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 56.90381244999935, 'time_per_img': 1.2107194138297734, ('torch.float16', 'cuda:3'): 774036485, 'get_rank': 3, 'memory_cpu_percent': 8.1, 'gpu_used_gb': 6.4150390625, 'local_rank': 3, 'scenario': 'ds2-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 119.9269136439998, 'time_per_img': 2.551636460510634, ('torch.float16', 'cuda:3'): 0, 'get_rank': 3, 'memory_cpu_percent': 8.3, 'gpu_used_gb': 5.1630859375, 'local_rank': 3, 'scenario': 'ds3-f16-offload'}
