{('torch.float32', 'cuda:0'): 124443653, ('torch.float32', 'cuda:0', 'grad'): 124443653, 'get_rank': -1, 'memory_cpu_percent': 2.7, 'gpu_used_gb': 5.3955078125, 'local_rank': 0, 'scenario': 'torch', 'N': 100, 'train_batch_size': 8, 'time_per_img': 0.05248508339000788, 'time_per_iter': 5.2485083390007885, 'times': [5.24077152000973, 5.239782813005149, 5.264970683987485], 'program': 'perf.py'}
{('torch.float32', 'cuda:0'): 124443653, ('torch.float32', 'cuda:0', 'grad'): 124443653, 'get_rank': -1, 'memory_cpu_percent': 2.8, 'gpu_used_gb': 5.0810546875, 'local_rank': 0, 'scenario': 'ort-torch', 'N': 100, 'train_batch_size': 8, 'time_per_img': 0.042092642570011475, 'time_per_iter': 4.209264257001148, 'times': [4.21380223199958, 4.208045980980387, 4.205944558023475], 'program': 'perf.py'}
{('torch.float32', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 2.8, 'gpu_used_gb': 5.5087890625, 'local_rank': 0, 'scenario': 'ds0', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.056867416969907936, 'time_per_iter': 5.686741696990794, 'times': [5.697484189993702, 5.6665521129907575, 5.696188787987921], 'program': 'perf.py'}
{('torch.float32', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 2.8, 'gpu_used_gb': 5.0087890625, 'local_rank': 0, 'scenario': 'ds0-ort', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.047515952466637826, 'time_per_iter': 4.751595246663783, 'times': [4.755745937000029, 4.751585474004969, 4.7474543289863504], 'program': 'perf.py'}
{('torch.float16', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 2.8, 'gpu_used_gb': 4.7236328125, 'local_rank': 0, 'scenario': 'ds0-f16', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.06172241866656502, 'time_per_iter': 6.172241866656502, 'times': [6.214189924998209, 6.130063382996013, 6.172472291975282], 'program': 'perf.py'}
{('torch.float16', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 2.8, 'gpu_used_gb': 4.4931640625, 'local_rank': 0, 'scenario': 'ds0-f16-ort', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.04587038464679306, 'time_per_iter': 4.587038464679305, 'times': [4.775757633004105, 4.721350936015369, 4.264006825018441], 'program': 'perf.py'}
{('torch.float32', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 2.8, 'gpu_used_gb': 6.2119140625, 'local_rank': 0, 'scenario': 'ds1', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.09212210032332223, 'time_per_iter': 9.212210032332223, 'times': [9.393203255982371, 9.275652378011728, 8.96777446300257], 'program': 'perf.py'}
{('torch.float16', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 2.8, 'gpu_used_gb': 4.4755859375, 'local_rank': 0, 'scenario': 'ds1-f16', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.07909389763672758, 'time_per_iter': 7.909389763672759, 'times': [7.947356179996859, 7.903079928015359, 7.8777331830060575], 'program': 'perf.py'}
{('torch.float16', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 3.5, 'gpu_used_gb': 3.1572265625, 'local_rank': 0, 'scenario': 'ds1-f16-offload', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.26674677716344986, 'time_per_iter': 26.674677716344984, 'times': [26.838299107010243, 26.531590208003763, 26.654143834020942], 'program': 'perf.py'}
{('torch.float16', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 2.8, 'gpu_used_gb': 4.7958984375, 'local_rank': 0, 'scenario': 'ds1-f16-ort', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.06256999158669108, 'time_per_iter': 6.256999158669108, 'times': [6.265730548009742, 6.2619164700154215, 6.24335045798216], 'program': 'perf.py'}
{('torch.float16', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 3.6, 'gpu_used_gb': 3.0791015625, 'local_rank': 0, 'scenario': 'ds1-f16-offload-ort', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.25386321639991366, 'time_per_iter': 25.386321639991365, 'times': [25.027669264993165, 25.360202866984764, 25.771092787996167], 'program': 'perf.py'}
{('torch.float32', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 3.6, 'gpu_used_gb': 6.4462890625, 'local_rank': 0, 'scenario': 'ds2', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.27366343983332625, 'time_per_iter': 27.366343983332627, 'times': [26.621330345980823, 27.609266927000135, 27.86843467701692], 'program': 'perf.py'}
{('torch.float16', 'cuda:0'): 124443653, 'get_rank': 0, 'memory_cpu_percent': 3.5, 'gpu_used_gb': 3.9228515625, 'local_rank': 0, 'scenario': 'ds2-f16', 'N': 100, 'train_batch_size': 24, 'time_per_img': 0.27634310397338896, 'time_per_iter': 27.634310397338897, 'times': [27.48927941400325, 27.761157152010128, 27.652494626003318], 'program': 'perf.py'}
