program,scenario,N,train_batch_size,average,details
perf.py,torch,100,8,5.1950939002010275,5.211267308011884:5.205632764991606:5.1901586560125:5.189522937987931:5.1943742409930564:5.199104188999627:5.1966688800021075:5.175096278981073:5.196270668006036:5.1928430780244526
perf.py,ort-torch,100,8,4.2267930191999765,4.240013625996653:4.230919096997241:4.252092539012665:4.21667968397378:4.253767363989027:4.219859310018364:4.204515829012962:4.231199353991542:4.209045530995354:4.209837858012179
perf.py,ds0,100,24,5.70868467829423,5.6979979909956455:5.762630106997676:5.6878673959872685:5.7025678110076115:5.743557413981762:5.71254788999795:5.701478529983433:5.690097067999886:5.68402258399874:5.70407999199233
perf.py,ds0-ort,100,24,4.759144294803264,4.7628822100232355:4.749130743002752:4.758509185019648:4.767020536004566:4.754711696994491:4.745353886013618:4.771081041981233:4.775706646993058:4.751395733997924:4.7556512680021115
perf.py,ds0-f16,100,24,6.107283541897777,6.111002559977351:6.092063934978796:6.108758229005616:6.133878162014298:6.112583112990251:6.08923009299906:6.088660115987295:6.133127725013765:6.104426075005904:6.099105411005439
perf.py,ds0-f16-ort,100,24,4.369850814898382,4.359333122993121:4.340662260976387:4.377817397005856:4.377551254990976:4.346530816023005:4.36051519899047:4.3646180590149015:4.414102587004891:4.390441762981936:4.3669356890022755
perf.py,ds1,100,24,8.985981095104943,8.97781600401504:8.96649474100559:9.025443151011132:9.018309757986572:8.898586798022734:9.032786787982332:8.957301226007985:9.03108836300089:8.984232913004234:8.967751209012931
perf.py,ds1-f16,100,24,8.326319719007007,8.3951392910094:8.404329000011785:8.333038575015962:8.31145208099042:8.288954730000114:8.332417432015063:8.314753704005852:8.305313189019216:8.305339869984891:8.272459318017354
perf.py,ds1-f16-offload,100,24,26.598050172498915,26.43337806299678:26.48671299900161:26.44616109301569:26.571458366001025:26.545088366023265:26.51253920898307:26.459736112999963:26.78269078399171:26.73397096397821:27.00876576799783
perf.py,ds1-f16-ort,100,24,6.502093537597102,7.379773087974172:6.615930644999025:7.137900132016512:6.43479091397603:6.235254442988662:6.260681649000617:6.243788396008313:6.231352873990545:6.246485423005652:6.234977812011493
perf.py,ds1-f16-offload-ort,100,24,24.99705625230563,24.65385462800623:24.756906994007295:25.03986611799337:25.081174649007153:25.216464052995434:25.01234005301376:25.043853125011083:24.93694738802151:25.025776547001442:25.203378967999015
perf.py,ds2,100,24,27.950792049997837,27.222793608001666:28.073692223988473:27.88327493998804:28.066473432001658:28.163111714005936:27.789498638012446:28.13532424697769:27.809152158006327:28.125701623997884:28.238897914998233
perf.py,ds2-f16,100,24,28.203054126602364,27.913351475988748:28.327559654979268:28.468780084018363:28.181521457008785:27.877422955993097:28.118662377994042:28.212665890023345:28.23707746301079:28.28523631999269:28.408263587014517
perf.py,ds2-f16-offload,100,24,28.087335810004152,28.649344721023226:28.231934715993702:28.27475474399398:28.066489154996816:28.10981722798897:27.790225104021374:27.803665865008952:27.739753025001846:28.172989853017498:28.03438368899515
perf.py,ds2-f16-offload-ort,100,24,25.184707208603506,24.93187378399307:24.94774289499037:24.8713602090138:25.370080633991165:24.98368349802331:25.013320491998456:25.041480068000965:25.435987016011495:25.598572866001632:25.652970624010777
perf.py,ds3,100,24,29.069823375999114,29.82363579500816:30.087369788001524:28.90556225797627:28.662671197002055:28.586329706013203:29.849092623975594:28.963687724986812:28.472222433018032:28.65801882999949:28.689643404009985
perf.py,ds3-f16,100,24,28.85173482260143,29.198785714019323:28.96411923499545:28.7511964860023:28.757816301018465:28.906070996978087:28.829486263013678:28.807113279006444:28.59830129999318:28.875570089992834:28.82888856099453
perf.py,ds3-f16-offload,100,24,60.56935359100171,59.48734320298536:60.60770978301298:59.89384883901221:60.31475197401596:60.590993066027295:60.76419348598574:61.03776432899758:60.92810830500093:61.12397435499588:60.94484856998315
perf.py,ds2-f16-ort,100,24,24.585012511003878,24.616579550987808:24.394087904016487:24.478807195002446:24.44550523601356:24.499201497994363:24.583018906007055:24.48356767601217:24.68699859001208:24.80577564999112:24.856582904001698
perf.py,ds1-ort,100,24,7.776382630097214,7.771536013984587:7.742818247003015:7.762844226992456:7.791772293974645:7.8121180800080765:7.746979588991962:7.757147211988922:7.778522517008241:7.806658290006453:7.793429831013782
perf.py,ds2-ort,100,24,26.51173935481056,26.204300271027023:26.1467246109969:26.24405673201545:26.6614348370058:26.704441196023254:26.827724418020807:26.728322524024406:26.08953463798389:26.60239784399164:26.908456477016443
perf.py,ds1-offload,100,24,26.82589248419972,24.48107500100741:25.366815941990353:26.56808704001014:27.043081020994578:27.46064584099804:27.21072505498887:26.9201563539973:27.72307093400741:27.667980188009096:27.817287465994013
perf.py,ds2-offload,100,24,27.914501089107944,27.671561461000238:28.496537574013928:27.96933522101608:28.04199937300291:27.559826718992554:28.061899690015707:27.5759873620118:28.04719693501829:27.94340657599969:27.77725998000824
perf.py,ds1-offload-ort,100,24,26.73303878979932,26.313039644010132:26.765936345997034:26.607837606978137:27.18180798899266:26.60385475200019:26.692476291005732:26.858508422010345:27.039863604994025:26.712246353999944:26.554816888005007
perf.py,ds2-offload-ort,100,24,26.038351788994625,25.710131028987234:25.903511165990494:25.629152915003942:25.882225061010104:26.085436131979804:26.467936747998465:26.071073063008953:26.515789027995197:26.12145257499651:25.99681017297553
