{'WORLD_SIZE': 4, 'N': 48, 'time': 11.061841698014177, 'time_per_img': 0.23535833400030165, ('torch.float32', 'cuda:3'): 124443653, 'get_rank': 3, 'memory_cpu_percent': 4.1, 'gpu_used_gb': 3.5322265625, 'local_rank': 3, 'scenario': 'ds0'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 12.877761956013273, 'time_per_img': 0.27399493523432494, ('torch.float32', 'cuda:3'): 124443653, 'get_rank': 3, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 4.2353515625, 'local_rank': 3, 'scenario': 'ds1'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 11.008139803016093, 'time_per_img': 0.2342157404897041, ('torch.float32', 'cuda:3'): 124443653, 'get_rank': 3, 'memory_cpu_percent': 6.0, 'gpu_used_gb': 4.7900390625, 'local_rank': 3, 'scenario': 'ds2'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 21.36259213500307, 'time_per_img': 0.45452323691495894, ('torch.float32', 'cuda:3'): 125189, 'get_rank': 3, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 4.2958984375, 'local_rank': 3, 'scenario': 'ds3'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 6.232191494986182, 'time_per_img': 0.1325998190422592, ('torch.float16', 'cuda:3'): 124443653, 'get_rank': 3, 'memory_cpu_percent': 4.1, 'gpu_used_gb': 3.9169921875, 'local_rank': 3, 'scenario': 'ds0-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 7.324126750987489, 'time_per_img': 0.1558324840635636, ('torch.float16', 'cuda:3'): 124443653, 'get_rank': 3, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 2.5791015625, 'local_rank': 3, 'scenario': 'ds1-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 10.111518472986063, 'time_per_img': 0.21513869091459709, ('torch.float16', 'cuda:3'): 124443653, 'get_rank': 3, 'memory_cpu_percent': 5.8, 'gpu_used_gb': 2.7822265625, 'local_rank': 3, 'scenario': 'ds2-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 18.869082909979625, 'time_per_img': 0.40146984914850264, ('torch.float16', 'cuda:3'): 0, 'get_rank': 3, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 2.8779296875, 'local_rank': 3, 'scenario': 'ds3-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 13.55881872298778, 'time_per_img': 0.28848550474442086, ('torch.float32', 'cuda:3'): 124443653, 'get_rank': 3, 'memory_cpu_percent': 6.0, 'gpu_used_gb': 4.0615234375, 'local_rank': 3, 'scenario': 'ds1-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 15.294008199998643, 'time_per_img': 0.3254044297872052, ('torch.float32', 'cuda:3'): 124443653, 'get_rank': 3, 'memory_cpu_percent': 5.9, 'gpu_used_gb': 4.7900390625, 'local_rank': 3, 'scenario': 'ds2-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 30.63992505898932, 'time_per_img': 0.6519132991274323, ('torch.float32', 'cuda:3'): 125189, 'get_rank': 3, 'memory_cpu_percent': 5.9, 'gpu_used_gb': 3.8583984375, 'local_rank': 3, 'scenario': 'ds3-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 9.71482449999894, 'time_per_img': 0.20669839361699874, ('torch.float16', 'cuda:3'): 124443653, 'get_rank': 3, 'memory_cpu_percent': 5.7, 'gpu_used_gb': 2.3896484375, 'local_rank': 3, 'scenario': 'ds1-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 10.261973943008343, 'time_per_img': 0.2183398711278371, ('torch.float16', 'cuda:3'): 124443653, 'get_rank': 3, 'memory_cpu_percent': 5.8, 'gpu_used_gb': 2.7822265625, 'local_rank': 3, 'scenario': 'ds2-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 46.03727866397821, 'time_per_img': 0.9795165673186854, ('torch.float16', 'cuda:3'): 0, 'get_rank': 3, 'memory_cpu_percent': 5.8, 'gpu_used_gb': 2.5283203125, 'local_rank': 3, 'scenario': 'ds3-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 11.110050722985761, 'time_per_img': 0.23638405793586725, ('torch.float32', 'cuda:3'): 124443653, 'get_rank': 3, 'memory_cpu_percent': 4.3, 'gpu_used_gb': 3.5556640625, 'local_rank': 3, 'scenario': 'ds0-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 9.707931051991181, 'time_per_img': 0.20655172451045067, ('torch.float32', 'cuda:3'): 124443653, 'get_rank': 3, 'memory_cpu_percent': 4.5, 'gpu_used_gb': 3.8330078125, 'local_rank': 3, 'scenario': 'ds1-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 15.03864932997385, 'time_per_img': 0.31997126233986917, ('torch.float32', 'cuda:3'): 124443653, 'get_rank': 3, 'memory_cpu_percent': 6.1, 'gpu_used_gb': 4.5615234375, 'local_rank': 3, 'scenario': 'ds2-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 5.481863823981257, 'time_per_img': 0.11663540051023952, ('torch.float16', 'cuda:3'): 124443653, 'get_rank': 3, 'memory_cpu_percent': 4.4, 'gpu_used_gb': 3.6142578125, 'local_rank': 3, 'scenario': 'ds0-f16-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 6.430248201009817, 'time_per_img': 0.1368137915108472, ('torch.float16', 'cuda:3'): 124443653, 'get_rank': 3, 'memory_cpu_percent': 4.5, 'gpu_used_gb': 2.5712890625, 'local_rank': 3, 'scenario': 'ds1-f16-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 8.716337916004704, 'time_per_img': 0.18545399821286604, ('torch.float16', 'cuda:3'): 124443653, 'get_rank': 3, 'memory_cpu_percent': 5.9, 'gpu_used_gb': 2.7001953125, 'local_rank': 3, 'scenario': 'ds2-f16-ort'}
