{'WORLD_SIZE': 4, 'N': 48, 'time': 30.831850855989615, 'time_per_img': 0.6559968267231833, ('torch.float16', 'cuda:0'): 774036485, 'get_rank': 0, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 8.2607421875, 'local_rank': 0, 'scenario': 'ds1-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 57.94113941601245, 'time_per_img': 1.2327902003406903, ('torch.float16', 'cuda:0'): 774036485, 'get_rank': 0, 'memory_cpu_percent': 9.3, 'gpu_used_gb': 6.9580078125, 'local_rank': 0, 'scenario': 'ds2-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 84.4633602440008, 'time_per_img': 1.797092771148953, ('torch.float16', 'cuda:0'): 0, 'get_rank': 0, 'memory_cpu_percent': 4.2, 'gpu_used_gb': 7.8486328125, 'local_rank': 0, 'scenario': 'ds3-f16'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 58.261493644997245, 'time_per_img': 1.239606247765899, ('torch.float16', 'cuda:0'): 774036485, 'get_rank': 0, 'memory_cpu_percent': 9.3, 'gpu_used_gb': 6.4912109375, 'local_rank': 0, 'scenario': 'ds1-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 58.107971122983145, 'time_per_img': 1.236339811127301, ('torch.float16', 'cuda:0'): 774036485, 'get_rank': 0, 'memory_cpu_percent': 9.3, 'gpu_used_gb': 6.9580078125, 'local_rank': 0, 'scenario': 'ds2-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 118.82257044699963, 'time_per_img': 2.5281397967446733, ('torch.float16', 'cuda:0'): 0, 'get_rank': 0, 'memory_cpu_percent': 8.3, 'gpu_used_gb': 5.1630859375, 'local_rank': 0, 'scenario': 'ds3-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 26.724796030000107, 'time_per_img': 0.568612681489364, ('torch.float16', 'cuda:0'): 774036485, 'get_rank': 0, 'memory_cpu_percent': 3.9, 'gpu_used_gb': 7.7783203125, 'local_rank': 0, 'scenario': 'ds1-f16-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 48.96896459099935, 'time_per_img': 1.041892863638284, ('torch.float16', 'cuda:0'): 774036485, 'get_rank': 0, 'memory_cpu_percent': 7.8, 'gpu_used_gb': 5.9951171875, 'local_rank': 0, 'scenario': 'ds2-f16-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 103.89573812599974, 'time_per_img': 2.210547619702122, ('torch.float32', 'cuda:0'): 774036485, 'get_rank': 0, 'memory_cpu_percent': 9.5, 'gpu_used_gb': 14.0087890625, 'local_rank': 0, 'scenario': 'ds1-offload-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 101.03428683000038, 'time_per_img': 2.1496656772340508, ('torch.float32', 'cuda:0'): 774036485, 'get_rank': 0, 'memory_cpu_percent': 9.5, 'gpu_used_gb': 14.3837890625, 'local_rank': 0, 'scenario': 'ds2-offload-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 53.385202043999925, 'time_per_img': 1.1358553626382963, ('torch.float16', 'cuda:0'): 774036485, 'get_rank': 0, 'memory_cpu_percent': 7.8, 'gpu_used_gb': 5.6201171875, 'local_rank': 0, 'scenario': 'ds1-f16-offload-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 49.29886325299958, 'time_per_img': 1.048911984106374, ('torch.float16', 'cuda:0'): 774036485, 'get_rank': 0, 'memory_cpu_percent': 7.8, 'gpu_used_gb': 5.9951171875, 'local_rank': 0, 'scenario': 'ds2-f16-offload-ort'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 54.89335536600083, 'time_per_img': 1.167943731191507, ('torch.float16', 'cuda:0'): 774036485, 'get_rank': 0, 'memory_cpu_percent': 8.1, 'gpu_used_gb': 6.4912109375, 'local_rank': 0, 'scenario': 'ds1-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 56.90487161800047, 'time_per_img': 1.210741949319159, ('torch.float16', 'cuda:0'): 774036485, 'get_rank': 0, 'memory_cpu_percent': 8.1, 'gpu_used_gb': 6.9580078125, 'local_rank': 0, 'scenario': 'ds2-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 119.9280369119997, 'time_per_img': 2.5516603598297807, ('torch.float16', 'cuda:0'): 0, 'get_rank': 0, 'memory_cpu_percent': 8.3, 'gpu_used_gb': 5.1630859375, 'local_rank': 0, 'scenario': 'ds3-f16-offload'}
{'WORLD_SIZE': 4, 'N': 48, 'time': 97.52803554499951, 'time_per_img': 2.0750645860638195, ('torch.float32', 'cuda:0'): 774036485, 'get_rank': 0, 'memory_cpu_percent': 9.5, 'gpu_used_gb': 14.3837890625, 'local_rank': 0, 'scenario': 'ds2-offload-ort'}
